0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/client2.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/anuj1-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/client3.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/client4.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/scholar.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/career-guidance-56a0f25c5f9b58eba4b572ac.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:55:13 +0530] "GET /springmvc/opportunity%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:58:21 +0530] "GET /springmvc/adhyayan-sarthi HTTP/1.1" 200 10557
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:58:21 +0530] "GET /springmvc/favicon%20(1)%20(1).png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:58:21 +0530] "GET /springmvc/anand-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:58:21 +0530] "GET /springmvc/1670033747690-removebg-preview.png HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [17/Oct/2023:16:58:21 +0530] "GET /springmvc/client1.png HTTP/1.1" 404 683
